Accession,replacedaccession,IDs,Country,Host,Year
KY272966.1_Dominican_Republic,KY272966.1_Dominican_Republic,KY272966.1,Dominican_Republic,Homo_sapiens,2014
KY272967.1_Dominican_Republic,KY272967.1_Dominican_Republic,KY272967.1,Dominican_Republic,Homo_sapiens,2014
KY272968.1_Dominican_Republic,KY272968.1_Dominican_Republic,KY272968.1,Dominican_Republic,Homo_sapiens,2014
KY272969.1_Dominican_Republic,KY272969.1_Dominican_Republic,KY272969.1,Dominican_Republic,Homo_sapiens,2014
KY272970.1_Dominican_Republic,KY272970.1_Dominican_Republic,KY272970.1,Dominican_Republic,Homo_sapiens,2014
KY415978.1_Haiti,KY415978.1_Haiti,KY415978.1,Haiti,Homo_sapiens,2014
KY415979.1_Haiti,KY415979.1_Haiti,KY415979.1,Haiti,Homo_sapiens,2014
KY415980.1_Haiti,KY415980.1_Haiti,KY415980.1,Haiti,Homo_sapiens,2014
KY415981.1_Haiti,KY415981.1_Haiti,KY415981.1,Haiti,Homo_sapiens,2014
KY415982.1_Haiti,KY415982.1_Haiti,KY415982.1,Haiti,Homo_sapiens,2014
KY415983.1_Haiti,KY415983.1_Haiti,KY415983.1,Haiti,Homo_sapiens,2014
KY415984.1_Haiti,KY415984.1_Haiti,KY415984.1,Haiti,Homo_sapiens,2014
KY415985.1_Haiti,KY415985.1_Haiti,KY415985.1,Haiti,Homo_sapiens,2014
KY435454.1_Trinidad_and_Tobago,KY435454.1_Trinidad_and_Tobago,KY435454.1,Trinidad_and_Tobago,Homo_sapiens,2011
KY435455.1_Anguilla,KY435455.1_Anguilla,KY435455.1,Anguilla,Homo_sapiens,2014
KY435456.1_Suriname,KY435456.1_Suriname,KY435456.1,Suriname,Homo_sapiens,2014
KY435457.1_Montserrat,KY435457.1_Montserrat,KY435457.1,Montserrat,Homo_sapiens,2014
KY435458.1_Guyana,KY435458.1_Guyana,KY435458.1,Guyana,Homo_sapiens,2014
KY435459.1_Cayman_Islands,KY435459.1_Cayman_Islands,KY435459.1,Cayman_Islands,Homo_sapiens,2014
